run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.cv_rmse,metrics.cv_rmse_step,metrics.test_r2,metrics.test_rmse,metrics.validation_min_test_r2,metrics.test_mae,metrics.best_cv_rmse,metrics.r2,metrics.mae,metrics.rmse,params.max_depth,params.n_estimators,params.n_jobs,params.random_state,params.min_samples_leaf,params.best_n_estimators,params.model_type,params.n_trials,params.cv_folds,params.best_min_samples_leaf,params.validation_min_test_r2,params.feature_selection_k,params.best_max_depth,params.validation_passed,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.parentRunId,tags.mlflow.log-model.history
1a433f3c28ab4bf38e78e900a97690fe,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/1a433f3c28ab4bf38e78e900a97690fe/artifacts,2026-05-01 14:39:20.233000+00:00,2026-05-01 14:39:20.331000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_16,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
0b75ff0183c04bdfa57cbcde9caf7610,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/0b75ff0183c04bdfa57cbcde9caf7610/artifacts,2026-05-01 14:39:17.219000+00:00,2026-05-01 14:39:17.315000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_15,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
0cd972cde2b24e76811c5589fe216719,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/0cd972cde2b24e76811c5589fe216719/artifacts,2026-05-01 14:39:14.186000+00:00,2026-05-01 14:39:14.283000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_14,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
99c822a679a14c11b7952812f8c16af6,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/99c822a679a14c11b7952812f8c16af6/artifacts,2026-05-01 14:39:11.416000+00:00,2026-05-01 14:39:11.482000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_13,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
8f71c9ab5c0f4bf595791e117ac1a8cd,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/8f71c9ab5c0f4bf595791e117ac1a8cd/artifacts,2026-05-01 14:39:08.965000+00:00,2026-05-01 14:39:09.032000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_12,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
977ea75c91844b7abb8d2289873948f6,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/977ea75c91844b7abb8d2289873948f6/artifacts,2026-05-01 14:39:06.236000+00:00,2026-05-01 14:39:06.312000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_11,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
020d8639fdba4595a3ca6f78ad30c213,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/020d8639fdba4595a3ca6f78ad30c213/artifacts,2026-05-01 14:39:03.616000+00:00,2026-05-01 14:39:03.683000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_10,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
fbb734dc67f049d8969046a77348f60e,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/fbb734dc67f049d8969046a77348f60e/artifacts,2026-05-01 14:39:01.186000+00:00,2026-05-01 14:39:01.253000+00:00,67.06223014722912,67.06223014722912,,,,,,,,,8,400,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_9,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
4737f6bf883440e4a6420b54b001231a,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/4737f6bf883440e4a6420b54b001231a/artifacts,2026-05-01 14:38:58.736000+00:00,2026-05-01 14:38:58.803000+00:00,64.55868945039336,64.55868945039336,,,,,,,,,None,100,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_8,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
40e15737a60f4690ac26a563070d2ce1,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/40e15737a60f4690ac26a563070d2ce1/artifacts,2026-05-01 14:38:57.635000+00:00,2026-05-01 14:38:57.703000+00:00,80.63445667709749,80.63445667709749,,,,,,,,,4,100,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_7,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
